bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,9.78076E+12,eng,832,11489,658
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,9.78044E+12,eng,423,2692,168
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,441102670,9.78044E+12,eng,436,38651,552
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,9.78044E+12,eng,331,96649,2306
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,9.78044E+12,eng,408,84276,1370
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,9.78044E+12,eng,471,45211,616
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78035E+12,eng,544,66687,4445
151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,9.78014E+12,eng,838,15747,1795
152,Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,451528611,9.78045E+12,eng,960,108970,5694
153,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,140449175,9.78014E+12,eng,837,2835,300
155,Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,9.78159E+12,eng,803,9362,710
162,Untouchable,Mulk Raj Anand-E.M. Forster,3.7,140183957,9.78014E+12,eng,160,3168,250
163,The Untouchable,John Banville,3.96,679767479,9.78068E+12,eng,367,2077,209
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9.78006E+12,eng,352,2934,222
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,9.78077E+12,eng,331,9530,604
216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,9.7814E+12,eng,191,2739,158
231,I am Charlotte Simmons,Tom Wolfe,3.41,312424442,9.78031E+12,eng,738,20508,1686
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9.7808E+12,eng,154,3237,134
249,Tropic of Cancer,Henry Miller-Jiří Níl,3.69,802131786,9.7808E+12,eng,318,50905,2290
250,Tropic of Capricorn,Henry Miller,3.82,802151825,9.7808E+12,eng,348,13549,448
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,802151809,9.7808E+12,eng,506,7024,248
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,9.78081E+12,eng,292,2627,142
264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,141439637,9.78014E+12,eng,797,60027,1854
275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,375700528,9.78038E+12,eng,117,22014,1363
280,The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,394743040,9.78039E+12,en-US,181,1939,122
291,The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,806501901,9.78081E+12,eng,132,6175,492
292,Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,9.78068E+12,eng,100,2893,210
295,Treasure Island,Robert Louis Stevenson,3.83,753453800,9.78075E+12,eng,311,301399,6160
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9.78142E+12,eng,245,5900,270
304,Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,9.78038E+12,eng,796,19852,601
320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,60531045,9.78006E+12,eng,417,547207,15763
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9.78039E+12,eng,64,2724,153
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9.78843E+12,spa,239,3956,242
338,Jitterbug Perfume,Tom Robbins,4.24,553348981,9.78055E+12,eng,352,4157,393
343,Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,140120831,9.78014E+12,eng,263,212561,7070
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9.78035E+12,eng,304,16743,617
349,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,312863551,9.78031E+12,eng,382,3667,416
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9.78044E+12,eng,528,241727,5985
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9.78044E+12,en-US,434,10140,187
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9.78035E+12,en-US,439,15580,422
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,9.78077E+12,eng,256,6723,188
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9.78067E+12,en-US,307,65988,1353
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,345455290,9.78035E+12,eng,298,21562,722
360,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,345418778,9.78035E+12,en-US,240,72235,1269
378,The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,394820371,9.78039E+12,en-US,256,206193,8290
385,On Bullshit,Harry G. Frankfurt,3.57,691122946,9.78069E+12,eng,67,8773,937
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,9.78039E+12,eng,347,9053,907
399,Underworld,Don DeLillo,3.92,684848155,9.78068E+12,eng,827,1471,170
400,Libra,Don DeLillo,3.99,140156046,9.78014E+12,eng,480,11361,533
402,Mao II,Don DeLillo,3.68,140152741,9.78014E+12,eng,254,8085,411
407,Great Jones Street,Don DeLillo,3.48,140179178,9.78014E+12,eng,272,2385,137
408,The Names,Don DeLillo,3.64,679722955,9.78068E+12,eng,339,2990,201
409,Against the Day,Thomas Pynchon,4.12,159420120X,9.78159E+12,eng,1085,5110,577
410,V.,Thomas Pynchon,3.96,60930217,9.78006E+12,eng,547,1364,176
411,The Crying of Lot 49,Thomas Pynchon,3.7,60931671,9.78006E+12,eng,152,2132,229
412,Gravity's Rainbow,Thomas Pynchon,4.02,140283382,9.78014E+12,eng,784,752,211
413,Mason & Dixon,Thomas Pynchon,4.06,312423209,9.78031E+12,eng,773,7756,570
415,Gravity's Rainbow,Thomas Pynchon,4.02,143039946,9.78014E+12,eng,776,28034,2058
418,Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,140189300,9.78014E+12,eng,352,2356,215
420,The Year of Magical Thinking,Joan Didion,3.88,140004314X,9.7814E+12,en-US,227,2507,328
421,The White Album,Joan Didion,4.17,374522219,9.78037E+12,eng,222,10584,651
422,A Book of Common Prayer,Joan Didion,3.8,679754865,9.78068E+12,eng,272,2790,238
423,Where I Was From,Joan Didion,3.86,679752862,9.78068E+12,eng,240,2665,282
425,Democracy,Joan Didion,3.81,679754857,9.78068E+12,en-US,234,1963,165
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,307264874,9.78031E+12,eng,1122,1486,107
428,Play It as It Lays,Joan Didion-David Thomson,3.87,374529949,9.78037E+12,eng,231,21868,1577
431,The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.9,143039830,9.78014E+12,eng,308,40276,1794
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,9.78014E+12,eng,203,11696,696
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.65,014009735X,9.78014E+12,eng,96,3443,185
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,9.78094E+12,eng,179,2818,153
446,The Brooklyn Follies,Paul Auster,3.83,312426232,9.78031E+12,eng,306,17317,1138
447,Moon Palace,Paul Auster,3.98,140115854,9.78014E+12,eng,320,14594,475
449,Timbuktu,Paul Auster,3.68,312263996,9.78031E+12,eng,181,9200,599
454,Travels in the Scriptorium,Paul Auster,3.23,805081453,9.78081E+12,eng,145,6492,558
456,Leviathan,Paul Auster,3.95,140178139,9.78014E+12,eng,275,11238,420
463,The Red Notebook: True Stories,Paul Auster,3.77,811214982,9.78081E+12,eng,104,2306,114
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,9.78014E+12,eng,608,49219,2672
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,743203046,9.78074E+12,eng,544,4418,479
493,My Inventions,Nikola Tesla,4.01,1599869942,9.7816E+12,eng,88,2506,224
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,806519606,9.78081E+12,eng,542,2613,313
525,Lord of the Flies,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,399529209,9.7804E+12,eng,336,1122,153
537,The Lovely Bones,Alice Sebold,3.79,330485385,9.78033E+12,en-GB,328,6315,960
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,743264460,9.78074E+12,eng,245,25004,1104
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,743236017,9.78074E+12,eng,272,59646,3341
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,60589469,9.78006E+12,eng,540,157734,6101
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,802789471,9.7808E+12,en-US,32,1730,267
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy-Hugh McLean,4.1,451528808,9.78045E+12,eng,304,7123,257
656,War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,192833987,9.78019E+12,eng,1392,201919,5903
658,The Kingdom of God Is Within You,Leo Tolstoy-Constance Garnett,4.13,486451380,9.78049E+12,eng,352,2256,191
662,Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,452011876,9.78045E+12,eng,1168,311883,14267
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,451163087,9.78045E+12,eng,224,2674,105
664,The Fountainhead,Ayn Rand,3.86,452286751,9.78045E+12,en-US,752,1860,228
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand-Nathaniel Branden,3.5,451163931,9.78045E+12,eng,176,11122,438
667,Anthem,Ayn Rand,3.63,452281253,9.78045E+12,eng,105,106642,6951
668,We the Living,Ayn Rand-Leonard Peikoff,3.91,451187849,9.78045E+12,eng,464,22587,1065
669,Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,451147952,9.78045E+12,eng,340,3426,153
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,9.78038E+12,eng,192,11894,608
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.08,975599518,9.78098E+12,en-US,571,1575,283
685,The Natural,Bernard Malamud-Kevin Baker,3.63,374502005,9.78037E+12,eng,231,8568,639
698,Digging to America,Anne Tyler,3.55,307263940,9.78031E+12,eng,277,16703,1811
703,The Plot Against America,Philip Roth,3.75,1400079497,9.7814E+12,eng,391,31270,2749
706,America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,713998946,9.78071E+12,eng,228,79299,1118
707,Naked Pictures of Famous People,Jon Stewart,3.59,688171621,9.78069E+12,en-GB,164,8623,417
759,Collected Stories,Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,60932686,9.78006E+12,eng,352,6132,173
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.96,1400034957,9.7814E+12,spa,118,7210,371
764,Del amor y otros demonios,Gabriel García Márquez,3.98,307350444,9.78031E+12,spa,176,3958,237
766,Memoria de mis putas tristes,Gabriel García Márquez,3.59,1400095808,9.7814E+12,spa,112,5065,312
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,375708111,9.78038E+12,eng,425,32578,1069
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.87,618710531,9.78062E+12,eng,287,6560,235
816,Cryptonomicon,Neal Stephenson,4.25,60512806,9.78006E+12,eng,1139,80225,4104
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.25,60733357,9.78006E+12,en-US,815,18790,552
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,60593083,9.78006E+12,eng,927,29981,1682
824,The Cobweb,Neal Stephenson-J. Frederick George,3.61,553383442,9.78055E+12,eng,448,2391,129
825,Zodiac,Neal Stephenson,3.71,553573861,9.78055E+12,eng,308,14508,525
826,The Big U,Neal Stephenson,3.25,380816032,9.78038E+12,en-US,308,4545,218
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson,4.19,553380966,9.78055E+12,eng,499,68751,2664
828,Interface,Neal Stephenson-George F. Jewsbury-Stephen  Bury,3.67,553383434,9.78055E+12,eng,640,4572,259
830,Snow Crash,Neal Stephenson,4.03,553380958,9.78055E+12,eng,438,187493,6601
840,The Design of Everyday Things,Donald A. Norman,4.19,465067107,9.78047E+12,eng,240,15854,1236
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.94,465051367,9.78047E+12,eng,272,3536,141
865,The Alchemist,Paulo Coelho-Alan R. Clarke-Özdemir İnce,3.85,61122416,9.78006E+12,eng,197,1592632,54668
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa-Akira Watanabe,4.57,142150460X,9.78142E+12,eng,192,8568,141
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa-Akira Watanabe,4.56,1591169259,9.78159E+12,eng,192,15748,274
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa-Akira Watanabe,4.57,1421504596,9.78142E+12,eng,192,9621,145
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa-Akira Watanabe,4.49,1591169208,9.78159E+12,eng,192,103978,1326
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa-Akira Watanabe,4.55,1591169291,9.78159E+12,eng,200,9920,270
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa-Akira Watanabe,4.52,1591169232,9.78159E+12,eng,192,14101,384
874,The Kite Runner,Khaled Hosseini,4.28,747588945,9.78075E+12,eng,324,1213,201
880,Pompeii,Robert   Harris,3.81,812974611,9.78081E+12,eng,304,25729,1633
890,Of Mice and Men,John Steinbeck,3.86,142000671,9.78014E+12,eng,112,1654353,23959
899,Of Mice and Men,John Steinbeck-Jim Taylor,3.86,582461464,9.78058E+12,eng,160,2088,162
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,60554738,9.78006E+12,en-US,464,19305,1510
902,The Westing Game,Ellen Raskin,4.02,014240120X,9.78014E+12,eng,182,134362,8278
903,The Egypt Game,Zilpha Keatley Snyder,3.82,808553038,9.78081E+12,eng,215,29160,1083
929,Memoirs of a Geisha,Arthur Golden,4.1,1400096898,9.7814E+12,eng,503,211763,3015
930,Memoirs of a Geisha,Arthur Golden,4.1,739326228,9.78074E+12,eng,434,1301305,19452
931,Memoirs of a Geisha,Arthur Golden,4.1,99498189,9.7801E+12,en-US,497,2075,254
933,Memoirs of a Geisha,Arthur Golden,4.1,99771519,9.7801E+12,eng,493,3883,425
935,Geisha of Gion,Mineko Iwasaki-Rande Brown,3.93,074343059X,9.78074E+12,eng,334,1438,148
960,Angels & Demons (Robert Langdon  #1),Dan Brown,3.88,1416524797,9.78142E+12,eng,736,2279854,20851
968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.82,307277674,9.78031E+12,eng,489,1588890,35316
969,The Da Vinci Code,Dan Brown,3.82,076792603X,9.78077E+12,eng,467,1109,110
975,Deception Point,Dan Brown,3.7,1416524800,9.78142E+12,eng,736,4864,410
976,Deception Point,Dan Brown,3.7,671027387,9.78067E+12,eng,556,511233,6870
977,Deception Point,Dan Brown,3.7,552151769,9.78055E+12,eng,585,3213,178
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley-William D. Danko,4.02,671015206,9.78067E+12,eng,258,56189,2373
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,1585424331,9.78159E+12,eng,320,88437,2305
1032,Trump: The Art of the Deal,Donald J. Trump-Tony Schwartz,3.65,345479173,9.78035E+12,en-US,384,11727,856
1052,The Richest Man in Babylon,George S. Clason,4.25,451205367,9.78045E+12,eng,194,67697,2865
1059,Shibumi,Trevanian-Gisela Stege,4.22,1400098033,9.7814E+12,eng,480,9001,612
1067,1776,David McCullough,4.07,743226720,9.78074E+12,eng,386,158126,6034
1078,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,1416500189,9.78142E+12,eng,418,195372,7481
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,60838582,9.78006E+12,eng,399,187311,4923
1103,Snow Flower and the Secret Fan,Lisa See,4.07,812968069,9.78081E+12,eng,269,296789,14990
1110,The Broker,John Grisham,3.78,385340540,9.78039E+12,eng,422,70174,2245
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.5,394720245,9.78039E+12,eng,1344,9845,1109
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips-Michael D'Orso,3.73,60193395,9.78006E+12,en-US,201,3806,275
1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park-Denise Brunkus,3.98,679838864,9.78068E+12,en-US,68,10723,591
1171,Liar's Poker,Michael   Lewis,4.15,140143459,9.78014E+12,eng,256,22710,931
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95,1400052580,9.7814E+12,eng,256,38550,212
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt-Stephen J. Dubner,3.96,61234001,9.78006E+12,eng,320,589427,12648
1226,Life of Pi,Yann Martel,3.9,156030209,9.78016E+12,en-US,401,4242,672
1232,The Shadow of the Wind (The Cemetery of Forgotten Books  #1),Carlos Ruiz Zafón-Lucia Graves,4.26,143034901,9.78014E+12,eng,487,306069,21008
1241,A Million Little Pieces,James Frey,3.63,307276902,9.78031E+12,eng,432,195863,10669
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.13,446394599,9.78045E+12,eng,193,5000,267
1265,Leadership,Rudolph W. Giuliani,3.72,316861014,9.78032E+12,eng,397,1755,142
1274,Men Are from Mars  Women Are from Venus,John Gray,3.54,60574216,9.78006E+12,eng,368,126108,3115
1277,Men are from Mars  Women are from Venus,John Gray,3.54,7152590,9.78001E+12,eng,307,1057,121
1295,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.04,553381679,9.78055E+12,eng,512,183361,4406
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,393324818,9.78039E+12,eng,317,78308,4002
1303,The 48 Laws of Power,Robert Greene-Joost Elffers,4.19,140280197,9.78014E+12,eng,452,52500,2751
1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,4.41,055338368X,9.78055E+12,eng,392,20649,1530
1307,Fire Sea (The Death Gate Cycle  #3),Margaret Weis-Tracy Hickman,4.06,553295411,9.78055E+12,eng,414,15900,173
1315,The Afghan Campaign,Steven Pressfield,3.96,038551641X,9.78039E+12,eng,354,2884,193
1317,Tides of War,Steven Pressfield,3.89,553381393,9.78055E+12,eng,448,3285,150
1318,Last of the Amazons,Steven Pressfield,3.75,553382047,9.78055E+12,eng,400,2083,121
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield-Robert McKee,4.02,446691437,9.78045E+12,eng,168,46883,4238
1354,Gorgias,Plato-Walter Hamilton-Chris Emlyn-Jones,3.95,140449043,9.78014E+12,en-GB,208,7840,180
1362,The Histories,Herodotus-Aubrey de Sélincourt-John M. Marincola,3.98,140449086,9.78014E+12,eng,716,32923,558
1371,The Iliad,Homer-Robert Fagles-Bernard Knox,3.85,140275363,9.78014E+12,eng,683,275201,3218
1373,Iliad,Homer-Stanley Lombardo-Sheila Murnaghan,3.85,872203522,9.78087E+12,en-US,574,995,131
1375,The Iliad/The Odyssey,Homer-Robert Fagles-Bernard Knox,4.03,147712556,9.78015E+12,eng,1556,53185,367
1376,The Iliad,Homer-E.V. Rieu-Peter Jones-D.C.H. Rieu,3.85,140447946,9.78014E+12,eng,462,1844,111
1381,The Odyssey,Homer-Robert Fagles-Bernard Knox,3.75,143039954,9.78014E+12,eng,541,730272,6249
1382,The Odyssey,Homer-Robert Fitzgerald-D.S. Carne-Ross,3.75,374525749,9.78037E+12,eng,515,1650,173
1384,The Odyssey,Homer-E.V. Rieu-Peter Jones-D.C.H. Rieu,3.75,140449116,9.78014E+12,eng,324,2405,159
1414,The Riverside Shakespeare,William Shakespeare-G. Blakemore Evans,4.55,395754909,9.7804E+12,eng,2057,3702,163
1420,Hamlet,William Shakespeare-Harold Bloom-Rex Gibson,4.01,521618746,9.78052E+12,eng,289,577429,6702
1423,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company-Jess Borgeson-Adam Long-Daniel Singer-Jess Winfield,4.46,1557831572,9.78156E+12,eng,137,7970,117
1426,Warrior of the Light,Paulo Coelho,3.7,60527986,9.78006E+12,en-US,142,21578,905
1427,The Zahir,Paulo Coelho-Margaret Jull Costa,3.57,60832819,9.78006E+12,eng,336,56713,2500
1428,By the River Piedra I Sat Down and Wept,Paulo Coelho-Alan R. Clarke,3.57,61122092,9.78006E+12,eng,208,68403,2644
1430,Eleven Minutes,Paulo Coelho-Margaret Jull Costa,3.69,60589280,9.78006E+12,eng,273,114826,4731
1431,Veronika Decides to Die,Paulo Coelho-Margaret Jull Costa,3.7,61124265,9.78006E+12,eng,210,126224,5201
1433,Hamlet,William Shakespeare-Stephen Orgel-A.R. Braunmuller,4.01,140714545,9.78014E+12,eng,148,1605,116
1473,Medea and Other Plays,Euripides-John Davie-Richard Rutherford,4.03,140449299,9.78014E+12,eng,206,8994,113
1519,The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus-Robert Fagles-William Bedell Stanford,4.01,140443339,9.78014E+12,eng,335,27759,536
1540,The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles-Robert Fitzgerald-Dudley Fitts,3.97,015602764X,9.78016E+12,eng,259,44470,672
1542,The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,Sophocles-Robert Fagles-Bernard Knox,3.97,140444254,9.78014E+12,eng,430,2825,271
1549,Antigone / Oedipus the King / Electra,Sophocles-Edith Hall-H.D.F. Kitto,3.94,192835882,9.78019E+12,eng,178,13060,183
